Cityname,Year,Month,disDay,disQuantity(ton),disCount
Hwaseong,2019,09,Thu,374.158374,221733
Hwaseong,2019,09,Fri,342.436098,200699
Hwaseong,2019,09,Sat,332.313081,185097
Hwaseong,2019,10,Sun,463.357177,254282
Hwaseong,2019,10,Mon,351.270887,197555
Hwaseong,2019,10,Tues,409.520367,241527
Hwaseong,2019,10,Wed,382.870852,226395
Hwaseong,2019,10,Thu,436.280847,255479
Hwaseong,2019,10,Fri,313.422261,187105
Hwaseong,2019,10,Sat,321.384524,182460
Hwaseong,2019,11,Sun,506.426102,226724
Hwaseong,2019,11,Mon,460.799566,215147
Hwaseong,2019,11,Tues,378.828573,185918
Hwaseong,2019,11,Wed,351.038921,174647
Hwaseong,2019,11,Thu,373.683807,183471
Hwaseong,2019,11,Fri,437.055954,214587
Hwaseong,2019,11,Sat,488.460367,222608
Hwaseong,2019,12,Sun,600.884646,274397
Hwaseong,2019,12,Mon,480.471704,228432
Hwaseong,2019,12,Tues,395.579093,195844
Hwaseong,2019,12,Wed,337.633576,168644
Hwaseong,2019,12,Thu,320.538372,161118
Hwaseong,2019,12,Fri,296.768796,150132
Hwaseong,2019,12,Sat,325.628524,155879
Hwaseong,2020,01,Sun,444.0959,204568
Hwaseong,2020,01,Mon,378.159612,178029
Hwaseong,2020,01,Tues,334.472522,161488
Hwaseong,2020,01,Wed,447.576781,216602
Hwaseong,2020,01,Thu,467.523861,227826
Hwaseong,2020,01,Fri,435.636717,211570
Hwaseong,2020,01,Sat,319.046178,149894
Hwaseong,2020,02,Sun,509.378998,234652
Hwaseong,2020,02,Mon,369.543685,176669
Hwaseong,2020,02,Tues,337.008468,166908
Hwaseong,2020,02,Wed,327.108042,163639
Hwaseong,2020,02,Thu,353.611467,177185
Hwaseong,2020,02,Fri,307.990073,154870
Hwaseong,2020,02,Sat,464.35224,220455
Hwaseong,2020,03,Sun,610.637976,296396
Hwaseong,2020,03,Mon,470.49079,237851
Hwaseong,2020,03,Tues,416.08274,216441
Hwaseong,2020,03,Wed,335.980256,175343
Hwaseong,2020,03,Thu,334.023832,174766
Hwaseong,2020,03,Fri,316.835669,166262
Hwaseong,2020,03,Sat,353.420046,177845
Hwaseong,2020,04,Sun,456.047529,227216
Hwaseong,2020,04,Mon,382.864752,197732
Hwaseong,2020,04,Tues,329.375637,176750
Hwaseong,2020,04,Wed,419.324853,225599
Hwaseong,2020,04,Thu,440.692461,236882
Hwaseong,2020,04,Fri,305.470328,164485
Hwaseong,2020,04,Sat,347.318998,178724
Hwaseong,2020,05,Sun,680.847913,336074
Hwaseong,2020,05,Mon,393.816743,204047
Hwaseong,2020,05,Tues,384.049757,203891
Hwaseong,2020,05,Wed,378.023823,203497
Hwaseong,2020,05,Thu,375.078781,204136
Hwaseong,2020,05,Fri,423.756489,227872
Hwaseong,2020,05,Sat,477.022812,242267
Hwaseong,2020,06,Sun,593.253108,298258
Hwaseong,2020,06,Mon,546.636952,291307
Hwaseong,2020,06,Tues,508.968434,281791
Hwaseong,2020,06,Wed,372.741104,208321
Hwaseong,2020,06,Thu,413.499324,231689
Hwaseong,2020,06,Fri,371.108316,208283
Hwaseong,2020,06,Sat,427.631475,221951
Hwaseong,2020,07,Sun,580.187219,300707
Hwaseong,2020,07,Mon,443.317251,242599
Hwaseong,2020,07,Tues,428.412381,244737
Hwaseong,2020,07,Wed,497.212169,284377
Hwaseong,2020,07,Thu,498.65534,286291
Hwaseong,2020,07,Fri,503.172623,289213
Hwaseong,2020,07,Sat,441.031558,237345
Hwaseong,2020,08,Sun,685.469756,380854
Hwaseong,2020,08,Mon,536.614396,313608
Hwaseong,2020,08,Tues,420.026291,250367
Hwaseong,2020,08,Wed,391.976257,240435
Hwaseong,2020,08,Thu,382.917302,236130
Hwaseong,2020,08,Fri,367.97157,229230
Hwaseong,2020,08,Sat,474.176566,272450
Hwaseong,2020,09,Sun,503.230092,297744
Hwaseong,2020,09,Mon,361.659048,220678
Hwaseong,2020,09,Tues,479.731207,305972
Hwaseong,2020,09,Wed,449.689516,283431
Hwaseong,2020,09,Thu,363.074137,235602
Hwaseong,2020,09,Fri,323.88732,211283
Hwaseong,2020,09,Sat,367.022624,223579
Hwaseong,2020,10,Sun,500.908884,275470
Hwaseong,2020,10,Mon,380.493805,217223
Hwaseong,2020,10,Tues,341.28575,202055
Hwaseong,2020,10,Wed,332.033886,197536
Hwaseong,2020,10,Thu,429.119725,251668
Hwaseong,2020,10,Fri,421.975164,242631
Hwaseong,2020,10,Sat,445.579504,247786
Hwaseong,2020,11,Sun,721.300495,327917
Hwaseong,2020,11,Mon,553.697432,266868
Hwaseong,2020,11,Tues,388.097131,194934
Hwaseong,2020,11,Wed,378.748299,191638
Hwaseong,2020,11,Thu,398.372813,198758
Hwaseong,2020,11,Fri,391.598493,190669
Hwaseong,2020,11,Sat,437.41867,198136
Hwaseong,2020,12,Sun,565.704257,265691
Hwaseong,2020,12,Mon,403.575591,198350
Hwaseong,2020,12,Tues,457.246018,230509
Hwaseong,2020,12,Wed,442.607987,226583
Hwaseong,2020,12,Thu,470.501863,241850
Hwaseong,2020,12,Fri,361.180819,182539
Hwaseong,2020,12,Sat,405.069939,195338
Ulsan,2017,07,Sun,15.80365,10272
Ulsan,2017,07,Mon,15.41925,10588
Ulsan,2017,07,Tues,11.24915,8064
Ulsan,2017,07,Wed,11.443,8268
Ulsan,2017,07,Thu,11.1353,8035
Ulsan,2017,07,Fri,10.9754,7992
Ulsan,2017,07,Sat,13.83515,9577
Ulsan,2017,08,Sun,12.7334,8793
Ulsan,2017,08,Mon,12.5578,8780
Ulsan,2017,08,Tues,15.66,11412
Ulsan,2017,08,Wed,14.7463,10911
Ulsan,2017,08,Thu,14.62125,10783
Ulsan,2017,08,Fri,11.241,8488
Ulsan,2017,08,Sat,11.34905,8246
Ulsan,2017,09,Sun,15.8917,11130
Ulsan,2017,09,Mon,15.38855,11121
Ulsan,2017,09,Tues,13.7536,10683
Ulsan,2017,09,Wed,12.56125,9924
Ulsan,2017,09,Thu,13.7667,10596
Ulsan,2017,09,Fri,15.96,12540
Ulsan,2017,09,Sat,17.15585,12597
