Year,Month,Hour,disQuantity(ton),disCount
2019,04,10,3212.674322,1833718
2019,04,11,2846.743243,1567239
2019,04,12,2693.346267,1538759
2019,04,13,3109.358758,1618729
2019,04,14,2902.892563,1525480
2019,04,15,2781.363882,1605081
2019,04,16,2941.219342,1678648
2019,04,17,3069.1084,1738873
2019,04,18,3442.343057,1983887
2019,04,19,4266.552408,2496144
2019,04,20,4304.041697,2459737
2019,04,21,3827.12048,2128187
2019,04,22,2321.2097,1257135
2019,04,23,1335.486032,702606
2019,05,00,746.578102,376489
2019,05,01,340.231984,141911
2019,05,02,243.903159,62994
2019,05,03,183.325756,45802
2019,05,04,304.094546,106386
2019,05,05,995.308567,426933
2019,05,06,2676.952272,1015654
2019,05,07,3319.973483,1743928
2019,05,08,3887.467641,2360713
2019,05,09,4274.001025,2447436
2019,05,10,3512.484418,2020825
2019,05,11,3030.648306,1706268
2019,05,12,2802.200077,1630475
2019,05,13,3193.851396,1671183
2019,05,14,3000.255208,1583535
2019,05,15,2873.529145,1680836
2019,05,16,3107.791019,1811941
2019,05,17,3348.583197,1950968
2019,05,18,3803.584599,2269940
2019,05,19,4906.135919,2988381
2019,05,20,5367.604382,3160005
2019,05,21,4848.762189,2754047
2019,05,22,3094.163213,1708980
2019,05,23,1726.94884,924500
2019,06,00,872.643202,446545
2019,06,01,386.821432,166115
2019,06,02,260.848713,73321
2019,06,03,189.332119,53294
2019,06,04,325.599694,122775
2019,06,05,1169.290713,504040
2019,06,06,2720.605126,1075391
2019,06,07,3258.923654,1819183
2019,06,08,3978.014745,2471656
2019,06,09,4339.291218,2549166
2019,06,10,3701.485605,2146873
2019,06,11,3190.60145,1827361
2019,06,12,2964.967653,1752968
2019,06,13,3321.429803,1794933
2019,06,14,3135.308599,1688099
2019,06,15,3020.225312,1770388
2019,06,16,3260.863754,1920259
2019,06,17,3538.094692,2090504
2019,06,18,4051.37111,2463666
2019,06,19,5244.901944,3255789
2019,06,20,5912.661121,3535553
2019,06,21,5408.168512,3118496
2019,06,22,3568.998349,2001775
2019,06,23,1972.528462,1070260
2019,07,00,1035.641854,535063
2019,07,01,443.439241,190862
2019,07,02,269.537178,82052
2019,07,03,216.471348,59045
2019,07,04,361.020731,141431
2019,07,05,1283.712151,573312
2019,07,06,3081.250071,1276846
2019,07,07,3792.037622,2154079
2019,07,08,4576.900529,2865983
2019,07,09,4888.637094,2881875
2019,07,10,4180.309583,2396420
2019,07,11,3550.952765,2036194
2019,07,12,3327.126522,1957489
2019,07,13,3752.184947,1982508
2019,07,14,3523.904922,1859173
2019,07,15,3329.15745,1942714
2019,07,16,3568.99595,2112407
2019,07,17,3920.738402,2341132
2019,07,18,4564.968023,2817991
2019,07,19,6022.532804,3815911
2019,07,20,6730.021863,4100348
2019,07,21,6210.935338,3657602
2019,07,22,4087.568521,2326681
2019,07,23,2311.30882,1273271
2019,08,00,1000.571359,540931
2019,08,01,448.509532,203630
2019,08,02,274.390478,87080
2019,08,03,225.739683,64152
2019,08,04,377.775502,151764
